Scheme_name,Category,Category_Equity,Category_Debt,Category_Hybrid,Expense_ratio,Risk_factor,age_in_months,Rating,Net_assets,Return_1wk,Return_1m,Return_3m,Return_6m,Return_1yr,Return_3yr,Return_5yr,Return_10yr,Equity_fund_style_Growth,Equity_fund_style_Value,Equity_fund_style_Blend,Standard Deviation,Sharpe Ratio,Sortino Ratio,NAV_latest,NAV_previous,NAV_52wk_high,NAV_52wk_low,Minimum_Investment,Fund_Manager_Tenure,#_Funds_managed,dbsc_1,agglomerative_1,hierarchy_1,kmeans_1,kmeans_2
Aditya Birla Sun Life Bal Bhavishya Yojna - Direct Plan,EQ-FLX,1,0,0,0.76,5,49,2,637,0.44,-2.62,-6.46,-6.65,-0.72,17.08,0.0,0.0,1,0,0,19.33,0.37,0.47,13.75,13.71,15.26,12.52,1000,2.0,4,0,4,1,0,8
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,EQ-BANK,1,0,0,1.17,5,111,2,2385,2.4,-1.18,-6.04,-5.23,5.26,24.58,9.24,0.0,1,0,0,33.75,0.38,0.45,41.83,41.51,46.71,35.15,1000,7.6,3,0,4,1,0,8
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Direct Plan,EQ-INTL,1,0,0,1.29,5,122,2,16,-1.06,-2.83,-4.18,-4.29,-11.34,30.21,9.84,7.63,0,1,0,22.66,0.76,0.89,36.92,36.22,44.33,35.08,1000,0.3,4,-1,1,1,1,5
Aditya Birla Sun Life Digital India Fund - Direct Plan,EQ-IT,1,0,0,0.88,5,122,2,3338,-0.49,-5.14,-0.41,5.1,-14.57,39.69,21.09,20.34,1,0,0,24.56,1.08,1.37,126.85,126.54,151.66,115.18,1000,9.2,2,0,2,1,1,0
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan,EQ-DIV Y,1,0,0,1.73,5,122,2,850,-0.08,-1.84,-1.38,3.2,5.65,30.42,10.11,12.82,0,0,1,21.16,0.82,0.98,284.74,284.57,302.25,231.67,1000,1.0,3,0,6,1,1,6
Aditya Birla Sun Life Equity Advantage Fund - Direct Plan,EQ-L&MC,1,0,0,1.14,5,122,1,4836,0.77,-2.56,-5.52,-7.72,-10.14,22.42,8.1,15.61,1,0,0,24.93,0.44,0.45,620.14,618.06,716.87,567.39,1000,0.1,4,0,2,1,1,0
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan,EQ-FLX,1,0,0,0.86,5,122,3,15450,0.96,-2.05,-5.12,-3.66,-2.55,25.07,10.57,16.83,1,0,0,23.6,0.56,0.6,1186.24,1182.51,1302.62,1052.96,100,10.2,3,0,2,1,1,0
Aditya Birla Sun Life Focused Equity Fund - Direct Plan,EQ-LC,1,0,0,1.06,5,122,3,5634,1.37,-2.27,-5.52,-3.77,-0.91,24.11,10.88,14.85,1,0,0,21.81,0.59,0.68,96.6,96.17,106.26,87.02,1000,10.2,4,0,2,1,1,0
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan,EQ-LC,1,0,0,1.03,5,122,3,21132,1.45,-1.76,-4.64,-2.71,1.22,26.44,10.78,14.5,1,0,0,22.06,0.64,0.73,365.17,363.77,396.39,321.37,100,10.2,4,0,2,1,1,0
Aditya Birla Sun Life Global Emerging Opportunities Fund - Direct Plan,EQ-INTL,1,0,0,0.7,5,122,2,262,1.26,-1.01,1.61,4.45,-8.45,19.5,9.0,4.69,0,0,1,17.0,0.59,0.87,19.5,19.5,21.83,17.71,100,0.3,4,0,8,1,0,6
Aditya Birla Sun Life Global Excellence Equity FoF - Direct Plan,EQ-INTL,1,0,0,0.69,5,122,2,156,2.42,2.42,5.31,14.29,-2.18,16.85,5.73,5.02,0,0,0,21.23,0.03,0.04,23.04,22.83,24.42,19.08,100,0.3,4,-1,8,1,0,7
Aditya Birla Sun Life India GenNext Fund - Direct Plan,EQ-Consumption,1,0,0,0.82,5,122,3,3218,1.41,-1.32,-5.42,-7.95,4.74,25.08,13.49,17.8,1,0,0,21.06,0.65,0.73,150.6,150.02,164.89,132.81,1000,7.6,2,0,2,1,1,0
Aditya Birla Sun Life Infrastructure Fund - Direct Plan,EQ-INFRA,1,0,0,1.7,5,122,2,562,0.52,0.48,0.84,2.63,13.25,35.5,9.22,15.01,1,0,0,29.07,0.73,0.94,56.59,56.68,59.06,43.61,1000,0.5,4,0,2,1,1,0
Aditya Birla Sun Life International Equity Fund - Plan A - Direct Plan,EQ-INTL,1,0,0,1.75,5,122,2,109,1.32,-2.54,-0.03,11.54,0.88,17.67,10.42,10.07,0,0,1,15.08,0.57,0.83,31.75,31.37,33.56,27.37,1000,0.3,4,0,8,1,1,6
Aditya Birla Sun Life International Equity Fund - Plan B - Direct Plan,EQ-THEMATIC,1,0,0,2.15,5,122,2,91,1.4,-2.37,-4.5,-0.64,-4.12,22.62,7.59,10.98,1,0,0,21.97,0.5,0.57,26.66,26.49,28.79,24.06,1000,1.9,5,0,2,1,1,0
Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan,EQ-THEMATIC,1,0,0,1.56,5,98,2,614,0.0,-2.27,-5.17,-7.44,-2.8,21.73,6.91,0.0,1,0,0,18.66,0.65,0.85,19.79,19.75,21.77,18.09,1000,8.2,3,0,4,1,0,8
Aditya Birla Sun Life Mid Cap Fund - Direct Plan,EQ-MC,1,0,0,1.2,5,122,1,3437,-0.36,-2.31,-3.21,-8.6,-3.4,28.11,8.54,16.16,0,0,1,24.15,0.7,0.71,475.87,473.94,528.73,435.06,1000,2.9,3,0,6,1,1,6
Aditya Birla Sun Life MNC Fund - Direct Plan,EQ-MNC,1,0,0,1.35,5,122,2,3072,-0.61,-3.97,-6.62,-10.88,-4.68,11.58,4.7,14.84,1,0,0,17.4,0.16,0.2,945.8,945.07,1082.62,923.2,1000,1.2,2,0,2,1,1,0
Aditya Birla Sun Life Nifty 50 ETF,EQ-LC,1,0,0,0.04,5,140,2,1095,1.06,-2.29,-5.3,-2.51,0.22,26.43,12.28,12.92,1,0,0,22.2,0.65,0.8,19.31,19.26,21.16,17.11,5000,7.6,7,0,2,1,1,0
Aditya Birla Sun Life Nifty 50 Index Fund - Direct Plan,EQ-LC,1,0,0,0.32,5,122,3,494,1.05,-2.32,-5.38,-2.66,-0.17,25.6,11.75,12.1,1,0,0,21.92,0.64,0.79,173.1,172.66,189.89,153.87,100,1.9,7,0,2,1,1,0
Aditya Birla Sun Life Nifty Bank ETF,EQ-BANK,1,0,0,0.08,5,41,2,2246,2.42,0.0,-5.71,-1.61,10.69,25.85,0.0,0.0,1,0,0,33.3,0.39,0.48,40.04,39.93,44.1,32.61,5000,3.4,7,0,4,1,0,8
Aditya Birla Sun Life Nifty Next 50 ETF,EQ-LC,1,0,0,0.08,5,51,2,65,1.67,0.77,-10.16,-13.99,-5.77,22.48,0.0,0.0,0,0,1,22.11,0.48,0.61,39.03,38.78,46.6,36.24,5000,4.3,7,0,6,1,0,6
Aditya Birla Sun Life Pharma & Healthcare Fund - Direct Plan,EQ-Pharma,1,0,0,1.17,5,44,2,425,0.35,-1.6,-7.74,-4.29,-9.2,19.19,0.0,0.0,0,0,1,20.53,0.62,1.2,17.17,17.04,19.52,16.68,1000,3.8,7,0,6,1,0,6
Aditya Birla Sun Life PSU Equity Fund - Direct Plan,EQ-PSU,1,0,0,0.98,5,39,2,1000,0.23,2.1,-1.96,5.62,16.52,33.44,0.0,0.0,0,1,0,23.83,0.89,1.41,17.49,17.51,18.85,13.45,500,0.5,3,-1,1,1,0,5
Aditya Birla Sun Life Pure Value Fund - Direct Plan,EQ-VAL,1,0,0,1.12,5,122,1,3798,0.49,-0.9,-3.34,-2.74,3.04,29.75,4.29,16.68,1,0,0,24.25,0.72,0.82,78.2,77.87,84.79,65.55,1000,0.5,2,0,2,1,1,0
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Direct Plan,EQ-FLX,1,0,0,1.06,5,48,2,258,0.85,-2.15,-5.75,-4.89,-0.03,17.83,0.0,0.0,1,0,0,19.4,0.4,0.5,13.4,13.37,14.7,12.14,1000,2.0,7,0,4,1,0,8
Aditya Birla Sun Life Small Cap Fund - Direct Plan,EQ-SC,1,0,0,1.04,5,122,1,2902,-0.48,-2.45,-3.38,-7.38,-2.02,31.56,5.59,16.73,1,0,0,27.9,0.68,0.71,54.76,54.67,60.01,48.36,1000,1.0,1,0,2,1,1,0
Aditya Birla Sun Life S&P BSE Sensex ETF,EQ-LC,1,0,0,0.04,5,80,2,104,1.14,-2.57,-4.15,-1.22,1.62,26.0,11.39,0.0,1,0,0,22.15,0.65,0.82,56.31,56.18,61.13,49.4,1000,6.7,7,0,4,1,0,8
Aditya Birla Sun Life Tax Plan - Direct Plan,EQ-ELSS,1,0,0,0.95,5,122,2,323,0.52,-3.3,-7.43,-6.64,-4.12,15.25,4.85,13.59,1,0,0,20.32,0.26,0.32,50.33,50.2,56.12,47.38,500,1.2,4,0,2,1,1,0
Aditya Birla Sun Life Tax Relief 96 - Direct Plan,EQ-ELSS,1,0,0,0.93,5,122,1,12755,0.72,-2.86,-7.07,-6.74,-2.97,16.09,5.77,14.4,1,0,0,19.9,0.31,0.38,41.79,41.67,46.4,39.16,500,1.2,4,0,2,1,1,0
Axis Bluechip Fund - Direct Plan,EQ-LC,1,0,0,0.63,5,122,4,33050,1.29,-2.51,-5.49,-6.97,-6.58,17.4,12.31,14.49,1,0,0,19.3,0.44,0.58,46.3,46.11,51.27,42.59,500,6.3,4,0,2,1,1,0
Axis Capital Builder Fund Series 4 (1582 Days) - Direct Plan,EQ-MLC,1,0,0,0.53,5,51,2,1388,1.02,-2.61,-5.46,-4.98,-2.95,22.6,0.0,0.0,1,0,0,21.82,0.55,0.64,16.79,16.73,18.37,14.99,5000,4.3,1,0,4,1,0,8
Axis ESG Equity Fund - Direct Plan,EQ-T-ESG,1,0,0,0.83,5,37,2,1534,1.29,-2.93,-3.06,-2.04,-6.23,19.0,0.0,0.0,1,0,0,17.69,0.72,1.23,14.91,14.83,16.37,13.49,500,3.2,4,0,4,1,0,8
Axis Flexi Cap Fund - Direct Plan,EQ-FLX,1,0,0,0.7,5,64,4,10077,0.9,-2.82,-5.93,-9.08,-8.38,18.06,12.53,0.0,1,0,0,19.6,0.47,0.63,17.92,17.83,20.18,16.69,500,5.4,4,0,4,1,0,8
Axis Focused 25 Fund - Direct Plan,EQ-FLX,1,0,0,0.74,5,122,2,15140,0.91,-2.94,-8.32,-13.0,-14.7,15.0,9.13,13.83,1,0,0,23.58,0.28,0.35,40.9,40.62,49.69,40.08,500,6.8,4,0,2,1,1,0
Axis Growth Opportunities Fund - Direct Plan,EQ-L&MC,1,0,0,0.59,5,53,3,8054,0.5,-2.91,-3.8,-8.47,-6.24,26.7,0.0,0.0,1,0,0,21.42,0.75,0.96,20.0,19.88,22.4,18.22,500,4.5,4,0,4,1,0,8
Axis Long Term Equity Fund - Direct Plan,EQ-ELSS,1,0,0,0.85,5,122,2,28754,0.74,-2.95,-7.64,-11.46,-11.05,15.93,9.61,16.87,1,0,0,22.72,0.33,0.42,66.89,66.51,77.86,62.99,500,10.2,4,0,2,1,1,0
Axis Midcap Fund - Direct Plan,EQ-MC,1,0,0,0.57,5,122,5,18920,0.08,-3.16,-4.04,-8.42,-2.38,25.23,15.9,19.54,1,0,0,19.9,0.77,0.92,72.29,72.08,80.04,65.19,500,6.3,4,0,2,1,1,0
Axis Nifty 100 Index Fund - Direct Plan,EQ-LC,1,0,0,0.15,5,41,3,953,1.19,-1.79,-6.78,-5.41,-1.71,25.01,0.0,0.0,1,0,0,21.68,0.61,0.77,14.81,14.76,16.49,13.37,500,3.5,3,0,4,1,0,8
Axis Nifty 50 ETF,EQ-LC,1,0,0,0.07,5,68,2,146,1.06,-2.3,-5.3,-2.5,0.18,26.37,12.33,0.0,1,0,0,22.21,0.65,0.79,182.39,181.92,199.89,161.71,5000,5.8,3,0,4,1,0,8
Axis Small Cap Fund - Direct Plan,EQ-SC,1,0,0,0.54,5,112,5,11463,0.1,-2.07,-2.84,-4.15,3.74,34.6,19.59,0.0,1,0,0,23.53,0.89,0.86,69.08,68.81,73.59,59.94,500,6.5,4,0,4,1,1,0
Bandhan Core Equity Fund - Direct Plan,EQ-L&MC,1,0,0,0.87,5,122,3,2391,0.61,-2.29,-3.64,-1.1,6.16,29.65,11.49,14.42,1,0,0,23.5,0.7,0.68,80.27,80.09,86.58,67.05,1000,0.1,4,0,2,1,1,0
Bandhan Emerging Businesses Fund - Direct Plan,EQ-SC,1,0,0,0.7,5,37,4,1423,-0.32,-1.55,-3.42,-7.39,-1.46,34.07,0.0,0.0,1,0,0,19.42,1.24,2.09,21.48,21.37,23.52,18.81,1000,0.1,4,0,4,1,0,8
Bandhan Flexi Cap Fund - Direct Plan,EQ-FLX,1,0,0,1.2,5,122,2,5533,0.64,-3.49,-5.95,-7.11,-3.24,21.4,8.44,14.34,1,0,0,20.89,0.48,0.49,138.87,138.29,153.39,123.87,1000,2.3,7,0,2,1,1,0
Bandhan Focused Equity Fund - Direct Plan,EQ-FLX,1,0,0,0.93,5,122,2,1195,1.48,-1.65,-3.44,-6.39,-4.02,20.71,7.16,11.91,1,0,0,20.96,0.44,0.45,57.17,57.08,62.17,51.81,1000,6.4,2,0,2,1,1,0
Bandhan Infrastructure Fund - Direct Plan,EQ-INFRA,1,0,0,1.15,5,122,2,615,0.39,0.98,1.38,-0.59,12.88,37.98,8.31,14.15,1,0,0,27.75,0.83,0.98,28.29,28.3,29.53,22.36,1000,2.3,7,0,2,1,1,0
Bandhan Large Cap Fund - Direct Plan,EQ-LC,1,0,0,0.95,5,122,3,1031,1.25,-1.99,-4.04,-5.1,-2.61,23.06,11.0,12.35,1,0,0,20.22,0.58,0.66,52.63,52.53,57.23,46.81,1000,6.1,7,0,2,1,1,0
Bandhan Nifty 50 ETF,EQ-LC,1,0,0,0.08,5,77,2,17,1.06,-2.26,-5.29,-2.47,0.11,26.01,12.22,0.0,1,0,0,21.91,0.65,0.8,182.39,181.92,199.84,161.65,5000,1.4,3,0,4,1,0,8
Bandhan Nifty 50 Index Fund - Direct Plan,EQ-LC,1,0,0,0.1,5,122,4,644,1.05,-2.3,-5.34,-2.58,0.17,26.22,12.3,12.82,1,0,0,21.98,0.66,0.82,37.07,36.97,40.64,32.88,1000,1.1,3,0,2,1,1,0
Bandhan S&P BSE Sensex ETF,EQ-LC,1,0,0,0.35,5,77,2,1,1.13,-2.57,-4.19,-1.3,1.34,25.44,12.96,0.0,1,0,0,22.0,0.63,0.8,614.9,613.43,667.76,540.25,5000,1.4,3,0,4,1,0,8
Bandhan Sterling Value Fund - Direct Plan,EQ-VAL,1,0,0,0.93,5,122,3,5145,0.6,-0.87,-0.9,-1.23,5.63,41.73,12.22,17.72,1,0,0,29.15,0.86,0.85,100.52,100.11,105.92,84.24,1000,6.4,4,0,2,1,1,0
Bandhan Tax Advantage (ELSS) Fund - Direct Plan,EQ-ELSS,1,0,0,0.75,5,122,4,4024,0.94,-1.09,-2.27,-1.61,2.63,37.19,13.16,18.1,1,0,0,25.91,0.84,0.88,109.57,109.08,116.81,93.08,500,6.4,1,0,2,1,1,0
Bank of India Large & Mid Cap Equity Fund - Direct Plan,EQ-L&MC,1,0,0,1.89,5,122,2,204,0.8,-1.72,-4.38,-4.74,2.86,25.77,9.73,13.53,1,0,0,21.26,0.66,0.71,60.7,60.43,65.74,52.02,5000,0.5,2,0,2,1,1,0
Bank of India Manufacturing & Infrastructure Fund - Direct Plan,EQ-INFRA,1,0,0,1.55,5,122,4,87,-0.06,-0.91,-0.88,-0.47,7.91,35.43,11.73,16.55,1,0,0,21.19,1.04,1.22,33.84,33.78,35.43,27.3,5000,0.5,2,0,2,1,1,0
Bank of India Midcap Tax Fund Series 1 - Direct Plan,EQ-ELSS,1,0,0,0.93,5,61,2,52,0.31,-1.46,-7.42,-10.48,-3.91,27.23,10.84,0.0,1,0,0,22.14,0.73,0.86,16.23,16.17,18.3,14.53,500,1.2,3,0,4,1,0,8
Bank of India Midcap Tax Fund Series 2 - Direct Plan,EQ-ELSS,1,0,0,0.72,5,53,2,26,0.47,-2.12,-7.09,-10.32,-4.53,26.11,0.0,0.0,1,0,0,22.9,0.65,0.73,19.38,19.31,21.84,17.35,500,1.2,3,0,4,1,0,8
Bank of India Small Cap Fund - Direct Plan,EQ-SC,1,0,0,1.52,5,51,4,415,0.29,-1.15,-3.52,-6.77,0.48,42.49,0.0,0.0,1,0,0,24.5,1.12,1.31,27.42,27.31,29.78,23.26,5000,0.9,3,0,4,1,0,8
Bank of India Tax Advantage Fund - Direct Plan,EQ-ELSS,1,0,0,1.31,5,122,4,677,0.55,-1.08,-4.86,-4.94,0.66,29.02,13.45,17.48,1,0,0,21.16,0.82,0.96,109.03,108.78,118.71,93.48,500,0.9,6,0,2,1,1,0
Baroda BNP Paribas Banking and Financial Services Fund - Direct Plan,EQ-BANK,1,0,0,1.63,5,122,2,70,1.96,-0.64,-6.77,-4.69,6.62,19.14,9.09,11.69,1,0,0,29.97,0.28,0.33,32.0,31.91,35.56,27.09,5000,1.0,1,0,4,1,1,0
Baroda BNP Paribas ELSS Fund - Direct Plan,EQ-ELSS,1,0,0,1.12,5,122,3,652,0.81,-2.26,-4.47,-3.93,-2.64,22.17,10.58,14.54,1,0,0,19.55,0.6,0.67,61.02,60.8,66.07,54.84,500,1.0,3,0,2,1,1,0
Baroda BNP Paribas Focused Fund - Direct Plan,EQ-FLX,1,0,0,0.67,5,65,3,300,0.08,-3.4,-3.63,-5.91,-0.15,23.09,10.09,0.0,1,0,0,19.49,0.63,0.76,15.35,15.33,16.59,13.8,5000,1.0,3,0,4,1,0,8
Baroda BNP Paribas India Consumption Fund - Direct Plan,EQ-Consumption,1,0,0,0.81,5,54,3,881,1.42,-1.53,-3.52,-7.87,5.1,23.42,0.0,0.0,1,0,0,18.2,0.68,0.81,20.83,20.76,22.62,18.37,5000,0.7,2,0,4,1,0,8
Baroda BNP Paribas Large Cap Fund - Direct Plan,EQ-LC,1,0,0,0.94,5,122,5,1347,1.12,-1.77,-3.82,-1.37,2.42,23.59,12.83,15.25,1,0,0,19.05,0.66,0.8,155.91,155.47,168.74,137.04,5000,0.8,2,0,2,1,1,0
Baroda BNP Paribas Midcap Fund - Direct Plan,EQ-MC,1,0,0,0.59,5,122,3,1192,0.55,-1.35,-2.65,-5.28,2.09,30.96,13.88,19.54,0,0,1,22.11,0.84,0.95,66.08,65.92,70.82,57.24,5000,0.7,2,0,6,1,1,6
Baroda BNP Paribas Multi Cap Fund - Direct Plan,EQ-MLC,1,0,0,1.1,5,122,2,1629,0.34,-2.78,-3.52,-3.32,-2.1,28.04,12.34,15.18,1,0,0,21.35,0.77,0.9,180.6,179.99,194.28,157.5,5000,7.4,3,0,2,1,1,0
BHARAT 22 ETF,EQ-LC,1,0,0,0.05,5,64,2,10023,-0.12,1.22,3.67,8.35,21.19,35.28,10.86,0.0,0,0,1,24.99,0.85,1.07,58.6,58.77,60.15,43.99,5000,5.4,17,-1,6,1,0,6
Canara Robeco Bluechip Equity Fund - Direct Plan,EQ-LC,1,0,0,0.48,5,122,5,8673,1.14,-2.04,-3.83,-2.59,1.12,24.31,14.52,14.87,1,0,0,19.51,0.69,0.84,45.18,45.08,48.64,39.84,5000,6.7,3,0,2,1,1,0
Canara Robeco Consumer Trends Fund - Direct Plan,EQ-Consumption,1,0,0,1.0,5,122,4,935,0.93,-1.02,-4.65,-7.73,7.28,26.87,15.34,17.67,1,0,0,19.87,0.74,0.83,75.03,74.68,81.58,64.37,5000,3.5,4,0,2,1,1,0
Canara Robeco Emerging Equities Fund - Direct Plan,EQ-L&MC,1,0,0,0.6,5,122,3,15262,0.75,-2.13,-5.07,-6.72,-0.33,27.09,12.71,21.61,1,0,0,21.94,0.69,0.76,171.73,171.22,187.74,154.53,5000,3.5,4,0,2,1,1,0
Canara Robeco Equity Tax Saver Fund - Direct Plan,EQ-ELSS,1,0,0,0.64,5,122,5,4686,0.73,-2.16,-4.58,-4.84,0.86,27.78,15.63,15.91,1,0,0,20.78,0.76,0.86,121.39,121.02,132.06,106.83,500,3.5,3,0,2,1,1,0
Canara Robeco Flexi Cap Fund - Direct Plan,EQ-FLX,1,0,0,0.55,5,122,4,8631,0.69,-2.51,-4.63,-4.37,-1.24,24.84,13.9,14.77,1,0,0,19.97,0.69,0.78,233.84,233.28,254.48,208.84,5000,6.7,4,0,2,1,1,0
Canara Robeco Infrastructure Fund - Direct Plan,EQ-INFRA,1,0,0,1.32,5,122,3,247,0.37,-0.48,-0.43,-3.48,13.42,34.88,12.42,15.69,1,0,0,23.09,0.9,1.01,89.0,88.96,95.58,72.8,5000,4.5,3,0,2,1,1,0
Canara Robeco Small Cap Fund - Direct Plan,EQ-SC,1,0,0,0.47,5,49,5,4832,0.48,-1.33,-3.71,-6.54,1.21,45.51,0.0,0.0,1,0,0,25.25,1.16,1.26,25.16,25.07,27.55,22.02,5000,3.5,4,0,4,1,0,8
CPSE ETF,EQ-PSU,1,0,0,0.05,5,108,2,19984,-1.65,1.6,4.5,6.92,17.08,35.69,7.25,0.0,0,1,0,24.71,0.96,1.64,39.28,39.48,40.69,30.94,5000,1.5,17,-1,1,1,4,5
DSP Equity Opportunities Fund - Direct Plan,EQ-L&MC,1,0,0,0.91,5,122,3,7111,0.71,-1.96,-4.05,-3.4,4.27,26.65,11.76,16.42,1,0,0,23.18,0.64,0.69,380.92,379.25,411.75,328.74,500,7.8,3,0,2,1,1,0
DSP Flexi Cap Fund - Direct Plan,EQ-FLX,1,0,0,0.76,5,122,3,7726,0.56,-3.18,-3.26,-4.85,0.05,22.98,12.27,15.49,1,0,0,22.85,0.55,0.61,66.94,66.56,71.78,58.46,500,6.8,1,0,2,1,1,0
DSP Focus Fund - Direct Plan,EQ-FLX,1,0,0,1.08,5,122,2,1785,0.88,-3.68,-4.44,-8.05,-1.66,20.35,8.87,13.08,1,0,0,23.39,0.43,0.45,34.27,34.02,37.92,30.63,500,2.8,4,0,2,1,1,0
DSP Global Allocation Fund - Direct Plan,EQ-INTL,1,0,0,1.43,5,103,2,71,1.14,-0.74,1.51,7.02,0.56,12.55,7.92,0.0,0,0,0,11.12,0.53,0.95,17.31,17.22,17.86,15.76,500,8.6,8,0,8,1,0,8
DSP Healthcare Fund - Direct Plan,EQ-Pharma,1,0,0,1.04,5,52,2,1198,1.19,-1.61,-6.79,0.99,-2.52,27.15,0.0,0.0,0,0,1,18.88,0.97,1.81,22.2,22.03,24.12,19.87,500,4.4,4,0,6,1,0,6
DSP Midcap Fund - Direct Plan,EQ-MC,1,0,0,0.77,5,122,2,13213,0.9,-2.44,-4.46,-8.49,-3.33,21.28,9.71,17.98,0,0,1,21.81,0.54,0.57,89.46,88.93,99.36,81.2,500,10.2,4,0,6,1,1,6
DSP Natural Resources and New Energy Fund - Direct Plan,EQ-Energy,1,0,0,1.21,5,122,2,673,0.48,-0.47,0.9,9.61,0.24,39.63,11.72,18.27,0,1,0,26.91,0.95,1.29,61.09,61.0,64.5,48.79,500,10.2,3,-1,1,1,1,5
DSP Nifty 50 Equal Weight Index Fund - Direct Plan,EQ-LC,1,0,0,0.4,5,65,3,499,0.72,-1.63,-5.64,-4.17,1.58,30.95,10.86,0.0,0,0,1,23.27,0.78,0.89,15.96,15.92,17.48,13.97,500,3.7,5,0,6,1,0,6
DSP Nifty 50 Index Fund - Direct Plan,EQ-LC,1,0,0,0.24,5,49,3,271,1.06,-2.31,-5.35,-2.59,0.0,25.87,0.0,0.0,1,0,0,22.07,0.63,0.78,16.35,16.31,17.93,14.52,500,3.7,5,0,4,1,0,8
DSP Nifty Next 50 Index Fund - Direct Plan,EQ-LC,1,0,0,0.32,5,49,2,228,1.67,0.76,-10.17,-14.02,-5.9,21.97,0.0,0.0,0,0,1,21.93,0.47,0.59,14.82,14.73,17.71,13.77,500,3.7,5,0,6,1,0,6
DSP Quant Fund - Direct Plan,EQ-THEMATIC,1,0,0,0.57,5,45,2,1226,1.34,-1.77,-5.52,-6.43,-4.35,21.12,0.0,0.0,1,0,0,21.17,0.54,0.7,15.6,15.52,17.12,14.06,500,3.8,5,0,4,1,0,8
DSP Small Cap Fund - Direct Plan,EQ-SC,1,0,0,0.9,5,122,2,8954,-0.06,-1.29,-1.3,-5.75,0.18,38.9,12.71,23.14,1,0,0,26.48,0.9,0.97,117.83,117.57,125.97,101.6,500,10.2,4,0,2,1,1,0
DSP Tax Saver Fund - Direct Plan,EQ-ELSS,1,0,0,0.81,5,122,4,10129,0.48,-1.88,-4.32,-3.12,1.45,28.85,13.55,17.46,1,0,0,22.69,0.73,0.77,86.55,86.27,93.65,75.71,500,7.7,1,0,2,1,1,0
DSP T.I.G.E.R. Fund - Direct Plan,EQ-INFRA,1,0,0,1.34,5,122,3,1797,-0.1,-0.49,-0.65,0.62,15.54,36.28,12.1,15.69,1,0,0,25.4,0.84,0.87,170.29,170.33,179.4,136.57,500,10.2,3,0,2,1,1,0
DSP Top 100 Equity Fund - Direct Plan,EQ-LC,1,0,0,1.27,5,122,1,2606,0.62,-2.29,-3.84,-2.91,3.63,21.72,8.89,11.52,1,0,0,22.99,0.44,0.47,303.27,301.85,326.09,263.43,500,0.8,1,0,2,1,1,0
DSP US Flexible Equity Fund - Direct Plan,EQ-INTL,1,0,0,1.52,5,122,2,771,1.61,-2.82,3.34,7.16,0.61,24.24,13.87,14.73,0,0,0,17.02,0.94,1.64,44.43,43.88,46.69,39.09,500,10.2,8,0,8,1,1,0
DSP World Agriculture Fund - Direct Plan,EQ-INTL,1,0,0,2.02,5,122,2,33,-0.29,-3.96,-0.52,3.13,-11.08,11.04,4.71,4.95,0,0,0,15.89,0.34,0.51,19.83,19.65,22.79,18.2,500,10.1,4,0,2,1,1,0
DSP World Energy Fund - Direct Plan,EQ-INTL,1,0,0,1.53,5,122,2,161,-0.21,-0.18,6.38,17.31,10.07,27.99,6.91,4.34,0,0,0,26.46,0.52,0.78,18.07,17.83,18.41,13.98,500,10.1,4,-1,8,1,1,7
DSP World Gold FoF - Direct Plan,EQ-INTL,1,0,0,1.81,5,122,2,778,3.43,5.41,3.23,30.73,-11.36,14.02,9.53,1.81,0,0,0,35.85,0.18,0.56,17.61,17.98,20.82,12.87,500,10.1,4,-1,8,1,0,7
DSP World Mining Fund - Direct Plan,EQ-INTL,1,0,0,1.5,5,122,2,189,-0.85,-7.52,-3.05,20.16,-9.54,37.0,14.69,6.44,0,0,0,29.36,0.91,1.45,16.82,16.86,19.53,12.85,500,10.1,4,-1,2,1,1,0
Edelweiss ASEAN Equity Off-shore Fund - Direct Plan,EQ-INTL,1,0,0,1.63,5,122,2,68,3.05,-0.84,1.6,8.18,2.54,19.4,4.14,6.21,0,0,0,19.42,0.38,0.52,27.11,26.82,28.44,23.35,5000,3.5,9,0,8,1,0,8
Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Direct Plan,EQ-INTL,1,0,0,1.43,5,104,2,130,2.87,-2.96,0.08,8.18,-6.98,7.98,2.05,0.0,0,0,0,19.44,0.05,0.08,14.36,14.21,15.7,12.44,5000,3.5,9,0,8,1,0,8
Edelweiss Europe Dynamic Equity Offshore Fund - Direct Plan,EQ-INTL,1,0,0,1.5,5,109,2,84,2.7,-1.8,5.59,23.8,9.04,25.32,8.03,0.0,0,0,0,21.18,0.61,0.99,17.05,17.0,17.68,13.11,5000,3.5,9,-1,8,1,0,8
Edelweiss Exchange Traded Fund-Nifty Bank,EQ-BANK,1,0,0,0.17,5,87,2,2,2.42,0.0,-5.71,-1.63,10.7,25.7,10.81,0.0,1,0,0,33.4,0.39,0.48,4077.443,4066.832,4491.619,3322.003,5000,7.3,9,-1,5,2,2,3
