Scheme_name,Category,Category_Equity,Category_Debt,Category_Hybrid,Expense_ratio,Risk_factor,age_in_months,Rating,Net_assets,Return_1wk,Return_1m,Return_3m,Return_6m,Return_1yr,Return_3yr,Return_5yr,Return_10yr,Equity_fund_style_Growth,Equity_fund_style_Value,Equity_fund_style_Blend,Standard Deviation,Sharpe Ratio,Sortino Ratio,NAV_latest,NAV_previous,NAV_52wk_high,NAV_52wk_low,Minimum_Investment,Fund_Manager_Tenure,#_Funds_managed,dbsc_1,agglomerative_1,hierarchy_1,kmeans_1,kmeans_2
JM Arbitrage Fund - Direct Plan,HY-AR,0,0,1,0.36,0,122,1,60,0.14,0.45,1.79,3.33,5.4,3.73,4.52,6.09,1,0,0,0.7,-0.33,-0.44,29.454,29.425,29.454,27.966,5000,10.2,4,0,0,4,3,4
JM Equity Hybrid Fund - Direct Plan,HY-AH,0,0,1,1.37,5,122,4,12,-0.06,-1.6,-2.31,1.56,7.99,29.4,11.17,13.06,1,0,0,21.24,0.87,1.19,78.066,78.094,81.929,66.124,5000,1.6,4,0,3,3,3,4
Kotak Balanced Advantage Fund - Direct Plan,HY-DAA,0,0,1,0.48,5,55,3,14280,0.6,-0.99,-0.39,0.98,5.5,18.1,0.0,0.0,1,0,0,13.3,0.64,0.63,15.704,15.675,16.006,14.189,1000,4.7,9,0,3,3,3,4
Kotak Debt Hybrid Fund - Direct Plan,HY-CH,0,0,1,0.44,3,122,5,1651,0.0,-0.05,0.05,1.63,6.07,14.3,9.97,10.62,1,0,0,6.52,1.12,1.17,49.906,49.848,50.262,45.731,5000,10.2,9,0,3,3,3,4
Kotak Equity Arbitrage Fund - Direct Plan,HY-AR,0,0,1,0.43,0,122,4,21918,0.14,0.43,1.89,3.49,5.84,4.92,5.62,6.81,0,0,1,0.73,1.27,1.57,33.462,33.425,33.462,31.636,5000,3.5,1,0,3,3,3,4
Kotak Equity Hybrid Fund - Direct Plan,HY-AH,0,0,1,0.58,5,122,4,3269,0.38,-1.16,-1.9,-1.06,4.63,26.9,12.9,13.57,1,0,0,17.95,0.82,0.82,28.406,28.365,29.657,25.09,5000,10.2,3,0,3,3,3,4
Kotak Equity Savings Fund - Direct Plan,HY-EQ S,0,0,1,1.02,3,101,4,2098,0.19,-0.19,0.46,2.53,6.55,14.33,9.17,0.0,1,0,0,8.33,0.83,0.84,20.914,20.877,21.138,19.154,5000,8.5,9,0,3,3,3,4
Kotak Multi Asset Allocator FoF -  Dynamic - Direct Plan,HY-MAA,0,0,1,0.13,5,122,2,784,1.34,0.41,-0.46,5.08,11.74,25.27,15.42,15.87,1,0,0,14.66,1.05,1.25,157.623,157.38,162.969,131.549,5000,3.9,9,0,3,3,3,4
LIC MF Arbitrage Fund - Direct Plan,HY-AR,0,0,1,0.31,0,50,2,28,0.11,0.39,1.77,3.24,5.51,4.38,0.0,0.0,1,0,0,0.77,0.61,0.73,12.218,12.209,12.218,11.586,5000,1.5,5,0,3,3,3,4
LIC MF Children's Gift Fund - Direct Plan,HY-AH,0,0,1,1.86,5,122,1,13,1.09,-2.25,-5.01,-4.81,-1.87,17.04,7.57,9.43,1,0,0,17.13,0.41,0.5,24.8,24.743,27.111,22.967,5000,2.2,5,0,3,3,3,4
LIC MF Debt Hybrid Fund - Direct Plan,HY-CH,0,0,1,1.34,3,122,3,61,0.3,-0.69,-0.39,1.22,2.49,8.07,6.71,7.53,1,0,0,4.63,0.56,0.95,74.012,73.989,75.054,69.973,5000,2.2,5,0,3,3,3,4
LIC MF Equity Hybrid Fund - Direct Plan,HY-AH,0,0,1,1.43,5,122,1,378,0.82,-2.06,-2.91,-2.99,-0.5,15.09,8.29,9.66,1,0,0,15.48,0.38,0.43,146.28,145.878,155.397,134.201,5000,1.5,5,0,3,3,3,4
LIC MF Unit Linked Insurance - Direct Plan,HY-AH,0,0,1,1.67,5,120,3,412,1.05,-1.72,-3.94,-5.54,-3.31,18.71,9.77,10.98,1,0,0,18.52,0.47,0.48,28.216,28.121,30.56,25.989,10000,1.5,5,0,3,3,3,4
Mahindra Manulife Aggressive Hybrid Fund - Direct Plan,HY-AH,0,0,1,0.65,5,44,4,615,0.42,-1.21,-2.97,-0.96,2.68,24.53,0.0,0.0,1,0,0,16.57,0.87,0.99,18.122,18.092,19.212,15.968,1000,3.7,7,0,3,3,3,4
Mahindra Manulife Equity Savings Fund - Direct Plan,HY-EQ S,0,0,1,0.7,3,73,4,418,0.36,-0.68,-1.34,-0.73,2.28,17.24,9.49,0.0,1,0,0,11.28,0.76,0.82,17.499,17.479,18.099,16.177,1000,6.2,7,0,3,3,3,4
Mirae Asset Equity Savings Fund - Direct Plan,HY-EQ S,0,0,1,0.44,3,51,5,573,0.45,-0.56,-1.3,0.25,3.73,16.05,0.0,0.0,1,0,0,10.09,0.81,0.9,15.581,15.555,15.985,14.362,5000,4.3,2,0,3,3,3,4
Mirae Asset Hybrid Equity Fund - Direct Plan,HY-AH,0,0,1,0.36,5,92,4,6953,0.64,-1.38,-3.35,-1.9,1.66,21.84,12.21,0.0,1,0,0,16.34,0.72,0.85,24.518,24.463,26.018,22.022,5000,6.5,2,0,3,3,3,4
Motilal Oswal Balance Advantage Fund - Direct Plan,HY-DAA,0,0,1,1.19,5,78,1,668,-0.04,-2.43,-1.56,-5.53,0.26,9.88,5.59,0.0,0,0,1,13.27,0.21,0.24,15.881,15.817,17.151,14.52,500,1.2,1,0,3,3,3,6
Motilal Oswal Equity Hybrid Fund - Direct Plan,HY-AH,0,0,1,0.94,5,54,3,385,0.9,-1.02,-3.64,-2.43,5.14,18.15,0.0,0.0,1,0,0,15.52,0.56,0.68,16.124,16.114,17.175,14.485,500,4.6,3,0,3,3,3,4
Navi Equity Hybrid Fund - Direct Plan,HY-AH,0,0,1,0.42,5,59,3,83,0.73,-1.19,-2.59,-0.85,3.23,19.62,0.0,0.0,1,0,0,16.81,0.55,0.54,15.487,15.429,16.294,13.8,10,1.1,5,0,3,3,3,4
Navi Regular Savings Fund - Direct Plan,HY-CH,0,0,1,0.39,2,122,3,27,0.31,-0.19,-0.41,1.21,4.38,8.39,6.55,8.23,1,0,0,5.07,0.47,0.46,26.458,26.38,26.676,24.985,10,1.1,5,0,3,3,3,4
